,year,school,subject,t_band6,t_male,t_female
0,2015,Parkes High School,15240,2,1,1
1,2015,Parkes High School,15250,2,1,1
2,2015,Newcastle High School,15060,1,0,1
3,2015,Newcastle High School,15140,1,0,1
4,2015,Newcastle High School,15220,1,0,1
5,2015,Newcastle High School,15400,1,0,1
6,2015,Newcastle High School,15990,1,0,1
7,2015,Newcastle High School,15980,1,0,1
8,2015,Newcastle High School,15160,1,0,1
9,2015,Newcastle High School,15235,1,1,0
10,2015,Newcastle High School,15080,1,0,1
11,2015,Santa Sabina College,15290,4,0,4
12,2015,Santa Sabina College,15240,3,0,3
13,2015,Santa Sabina College,15210,2,0,2
14,2015,Santa Sabina College,15190,2,0,2
15,2015,Santa Sabina College,15350,3,0,3
16,2015,Santa Sabina College,15810,2,0,2
17,2015,Santa Sabina College,15555,1,0,1
18,2015,Santa Sabina College,15260,2,0,2
19,2015,Santa Sabina College,15390,1,0,1
20,2015,Santa Sabina College,15110,2,0,2
21,2015,Santa Sabina College,15140,15,0,15
22,2015,Santa Sabina College,15280,2,0,2
23,2015,Santa Sabina College,15670,5,0,5
24,2015,Santa Sabina College,15220,10,0,10
25,2015,Santa Sabina College,15400,3,0,3
26,2015,Santa Sabina College,15030,8,0,8
27,2015,Santa Sabina College,15800,3,0,3
28,2015,Santa Sabina College,15830,1,0,1
29,2015,Santa Sabina College,26499,1,0,1
30,2015,Santa Sabina College,15680,2,0,2
31,2015,Santa Sabina College,15370,17,0,17
32,2015,Santa Sabina College,16080,1,0,1
33,2015,Santa Sabina College,15250,6,0,6
34,2015,Santa Sabina College,15040,5,0,5
35,2015,Santa Sabina College,15690,1,0,1
36,2015,Santa Sabina College,15160,4,0,4
37,2015,Santa Sabina College,15270,8,0,8
38,2015,Santa Sabina College,15235,1,0,1
39,2015,Santa Sabina College,15080,9,2,7
40,2015,Santa Sabina College,15020,1,0,1
41,2015,Santa Sabina College,15790,2,0,2
42,2015,Santa Sabina College,15380,6,0,6
43,2015,Marian Catholic College,26079,1,1,0
44,2015,Marian Catholic College,15050,1,0,1
45,2015,Marian Catholic College,15240,11,8,3
46,2015,Marian Catholic College,15070,2,0,2
47,2015,Marian Catholic College,15350,1,0,1
48,2015,Marian Catholic College,15060,4,1,3
49,2015,Marian Catholic College,15260,1,1,0
50,2015,Marian Catholic College,15140,5,1,4
51,2015,Marian Catholic College,15280,1,0,1
52,2015,Marian Catholic College,15220,2,1,1
53,2015,Marian Catholic College,15400,1,0,1
54,2015,Marian Catholic College,15030,3,0,3
55,2015,Marian Catholic College,15370,2,1,1
56,2015,Marian Catholic College,15250,4,2,2
57,2015,Marian Catholic College,15040,2,1,1
58,2015,Marian Catholic College,26579,4,0,4
59,2015,Marian Catholic College,15320,8,1,7
60,2015,Marian Catholic College,15160,2,0,2
61,2015,Marian Catholic College,15340,2,0,2
62,2015,Marian Catholic College,15235,6,0,6
63,2015,Marian Catholic College,15020,1,0,1
64,2015,Marian Catholic College,15380,5,0,5
65,2015,Ulladulla High School,15290,2,1,1
66,2015,Ulladulla High School,15090,1,0,1
67,2015,Ulladulla High School,15240,2,2,0
68,2015,Ulladulla High School,15350,1,0,1
69,2015,Ulladulla High School,15330,2,2,0
70,2015,Ulladulla High School,15140,2,1,1
71,2015,Ulladulla High School,15010,2,1,1
72,2015,Ulladulla High School,15400,1,0,1
73,2015,Ulladulla High School,15030,2,1,1
74,2015,Ulladulla High School,15250,1,1,0
75,2015,Ulladulla High School,15320,3,0,3
76,2015,Ulladulla High School,15160,3,1,2
77,2015,Ulladulla High School,15270,1,1,0
78,2015,Ulladulla High School,15235,1,0,1
79,2015,Ulladulla High School,15080,1,1,0
80,2015,Ulladulla High School,15020,1,0,1
81,2015,Bulli High School,15050,3,3,0
82,2015,Bulli High School,15240,6,4,2
83,2015,Bulli High School,15260,2,2,0
84,2015,Bulli High School,15330,1,1,0
85,2015,Bulli High School,15140,1,0,1
86,2015,Bulli High School,15100,3,3,0
87,2015,Bulli High School,15400,3,0,3
88,2015,Bulli High School,15030,3,1,2
89,2015,Bulli High School,15250,2,2,0
90,2015,Bulli High School,15160,2,0,2
91,2015,Bulli High School,15340,3,1,2
92,2015,Bulli High School,15235,2,1,1
93,2015,Bulli High School,15020,2,0,2
94,2015,Macarthur Girls High School,15090,2,1,1
95,2015,Macarthur Girls High School,15240,6,1,5
96,2015,Macarthur Girls High School,15150,2,0,2
97,2015,Macarthur Girls High School,15180,1,0,1
98,2015,Macarthur Girls High School,15350,4,2,2
99,2015,Macarthur Girls High School,15060,1,0,1
100,2015,Macarthur Girls High School,15260,1,0,1
101,2015,Macarthur Girls High School,15310,1,0,1
102,2015,Macarthur Girls High School,15140,3,0,3
103,2015,Macarthur Girls High School,15220,2,0,2
104,2015,Macarthur Girls High School,15400,8,1,7
105,2015,Macarthur Girls High School,15030,3,0,3
106,2015,Macarthur Girls High School,15250,2,0,2
107,2015,Macarthur Girls High School,15200,1,0,1
108,2015,Macarthur Girls High School,15040,1,0,1
109,2015,Macarthur Girls High School,26579,1,0,1
110,2015,Macarthur Girls High School,15160,1,0,1
111,2015,Macarthur Girls High School,15235,2,1,1
112,2015,Macarthur Girls High School,15020,3,0,3
113,2015,Macarthur Girls High School,15380,2,1,1
114,2015,Baulkham Hills High School,15050,45,22,23
115,2015,Baulkham Hills High School,15850,6,1,5
116,2015,Baulkham Hills High School,15090,3,0,3
117,2015,Baulkham Hills High School,15240,55,28,27
118,2015,Baulkham Hills High School,15170,3,2,1
119,2015,Baulkham Hills High School,15885,1,0,1
120,2015,Baulkham Hills High School,15260,64,38,26
121,2015,Baulkham Hills High School,15330,46,31,15
122,2015,Baulkham Hills High School,15120,5,4,1
123,2015,Baulkham Hills High School,15310,3,3,0
124,2015,Baulkham Hills High School,15110,15,7,8
125,2015,Baulkham Hills High School,15910,8,5,3
126,2015,Baulkham Hills High School,15140,100,42,58
127,2015,Baulkham Hills High School,15280,3,0,3
128,2015,Baulkham Hills High School,15360,1,0,1
129,2015,Baulkham Hills High School,15220,8,2,6
130,2015,Baulkham Hills High School,15400,7,2,5
131,2015,Baulkham Hills High School,15030,14,5,9
132,2015,Baulkham Hills High School,15830,7,2,5
133,2015,Baulkham Hills High School,16110,1,0,1
134,2015,Baulkham Hills High School,15300,12,7,5
135,2015,Baulkham Hills High School,15370,2,1,1
136,2015,Baulkham Hills High School,15900,5,3,2
137,2015,Baulkham Hills High School,15250,118,70,48
138,2015,Baulkham Hills High School,15040,8,4,4
139,2015,Baulkham Hills High School,15320,3,2,1
140,2015,Baulkham Hills High School,15160,40,12,28
141,2015,Baulkham Hills High School,15270,13,6,7
142,2015,Baulkham Hills High School,15020,2,0,2
143,2015,Baulkham Hills High School,15380,1,0,1
144,2015,Shellharbour Anglican College,15390,2,0,2
145,2015,Shellharbour Anglican College,15280,1,1,0
146,2015,Shellharbour Anglican College,15400,2,0,2
147,2015,Shellharbour Anglican College,15320,1,0,1
148,2015,Shellharbour Anglican College,15160,1,0,1
149,2015,Al Sadiq College,15240,3,3,0
150,2015,Al Sadiq College,15250,2,2,0
151,2015,Al Sadiq College,15520,1,1,0
152,2015,Al Sadiq College,15320,2,1,1
153,2015,Merewether High School,15050,4,4,0
154,2015,Merewether High School,15290,10,5,5
155,2015,Merewether High School,15090,9,3,6
156,2015,Merewether High School,15240,18,9,9
157,2015,Merewether High School,15210,3,3,0
158,2015,Merewether High School,15170,3,1,2
159,2015,Merewether High School,15180,13,0,13
160,2015,Merewether High School,15190,8,4,4
161,2015,Merewether High School,15350,15,1,14
162,2015,Merewether High School,15260,2,2,0
163,2015,Merewether High School,15330,8,8,0
164,2015,Merewether High School,15120,4,4,0
165,2015,Merewether High School,15310,1,0,1
166,2015,Merewether High School,15390,1,0,1
167,2015,Merewether High School,15110,1,1,0
168,2015,Merewether High School,15140,24,9,15
169,2015,Merewether High School,15280,3,1,2
170,2015,Merewether High School,15360,2,2,0
171,2015,Merewether High School,15220,19,2,17
